NHSTID,DIVA_NR,Y_KOORD,X_KOORD,CHSTNAME,CNAME,VTYP,HSTTYP,HAFAS_PRIO,LINKTEXT,ZONEN,SYMB_CODE,SYMB_TEXT,LINIEN,E,N,fahrgastza,fahrgast_1,fahrgast_2,fahrgast_3,fahrgast_4,fahrgast_5,fahrgast_6,fahrgast_7,fahrgast_8,fahrgast_9,lng,lat
"8591189","1186",,,"Zürich, Heubeeriweg",Zürich,Bus,"&nbsp;","0",,"110","2",Bus,"39","2685036","1248472","645","664",10.299342465753400,18.907534246575299,11.260000000000000,21.750000000000000,"1186",HEUB,29.206876712328700,33.009999999999998,8.564736526594787,47.381592442789398
"8573166","1684",,,"Thalwil, Mühlebachplatz",Thalwil,Bus,"&nbsp;","0",,"150","2",Bus,"140,240,N15","2685192","1238431","726","748",0.000000000000000,0.388931506849315,0.000000000000000,0.000000000000000,"1684",MUBA01,0.388931506849315,0.000000000000000,8.564893752885682,47.291269269126921
"8591421","2815",,,"Zürich, Waldhaus Dolder",Zürich,Zahnradbahn,"&nbsp;","0",,"110","6",Bergbahn,"25","2685332","1247542","598","617",154.950445534246995,249.489945205478989,163.267619999999994,278.889999999999986,"2815",WDOL,404.440390739726013,442.157620000000009,8.568478526301726,47.373190388615271
"8591120","3594",,,"Zürich, EPI-Klinik",Zürich,Bus,"&nbsp;","0",,"110","2",Bus,"77","2685536","1244816","26","30",218.688904109589004,291.893561643835994,275.149999999999977,373.189999999999998,"3594",EPIK,510.582465753425026,648.340000000000032,8.570658581653966,47.348648050869457
"8591349","2294",,,"Zürich, Schwamendingerplatz",Zürich,"Bus,Tram","&nbsp;","2",,"110","3",Bus Tram,"7,9,61,62,75,79,N11","2685539","1251037","52","57",8864.600767123289188,8675.279917808220489,10120.665577689200290,9889.393266932269398,"2294",SCHW,17539.880684931500582,20010.058844621500612,8.571887240086873,47.404595056359902
"8576206","610",,,"Küsnacht ZH, Bühlstrasse",Küsnacht ZH,Bus,"&nbsp;","0",,"140","2",Bus,"912,916","2686241","1242965","7","10",110.409178082192000,116.843150684931999,132.490000000000009,139.189999999999998,"610",BUEH,227.252328767123998,271.680000000000007,8.579631467736551,47.331909422903607
"8590705","3744",,,"Küsnacht ZH, Zentrum",Küsnacht ZH,Bus,"&nbsp;","0",,"140","2",Bus,"918,919,N18","2686433","1241452","693","712",149.607178082192007,121.733698630136999,192.300000000000011,159.599999999999994,"3744",ZENK,271.340876712329020,351.899999999999977,8.581879727612680,47.318277221621408
"8590881","439",,,"Wallisellen, Belair",Wallisellen,"Bus,Tram","&nbsp;","2",,"121","3",Bus Tram,"12,759,N78","2686530","1252092","579","597",376.345369863014014,383.503506849314988,486.120000000000005,490.339999999999975,"439",BELA07,759.848876712329002,976.460000000000036,8.585218855606012,47.413953413720769
"8576217","1769",,,"Küsnacht ZH, Obere Heslibachst",Küsnacht ZH,Bus,"&nbsp;","0",,"140","2",Bus,"916,918","2686714","1241304","669","688",133.789698630136996,123.831095890411007,165.840000000000003,153.650000000000006,"1769",OBHE,257.620794520547975,319.490000000000009,8.585567388829139,47.316909310024698
"8591300","3765",,,"Zürich, Stodolastrasse",Zürich,Bus,"&nbsp;","0",,"110","2",Bus,"91","2687026","1245756","656","675",16.718630136986299,12.784767123287700,17.000000000000000,14.400000000000000,"3765",STOD,29.503397260273999,31.399999999999999,8.590557909421443,47.356906782949928
