field_1,Haltestellen_Id,ein_dtv,aus_dtv,ein_dwv,aus_dwv,HALTESTELLEN_Haltestellennummer,HALTESTELLEN_Haltestellenkurzname,HALTESTELLEN_Haltestellenlangname,sum_dtv,sum_dwv
"60","65",1552.29802739726,1509.43449315068,1764.38932270916,1708.15605577689,"767",EINF,"Zürich, Einfangstrasse",3061.73252054794,3472.54537848605
"61","66",2983.87967123288,3258.20821917808,3436.6193625498,3747.20956175299,"2968",ZEHN,"Zürich, Zehntenhausplatz",6242.08789041096,7183.82892430279
"62","67",1050.46008219178,1065.85471232877,1218.58498007968,1214.02920318725,"3021",BAFF,"Zürich, Bahnhof Affoltern",2116.31479452055,2432.61418326693
"63","68",196.940575342466,152.123835616438,225.653027888446,171.630438247012,"914",FRON,"Zürich, Fronwald",349.064410958904,397.283466135458
"64","69",442.38501369863,387.480602739726,516.301474103586,450.650756972112,"2737",UAFF,"Zürich, Unteraffoltern",829.865616438356,966.952231075698
"65","70",177.512273972603,175.830410958904,198.686932270916,196.951553784861,"2298",SHOL,"Zürich, Schwandenholz",353.342684931507,395.638486055777
"66","71",297.519835616438,282.404767123288,322.829322709163,305.428446215139,"2801",WAIH,"Zürich, Waidhof",579.924602739726,628.257768924302
"67","72",13075.6258372603,11836.8040887671,15473.4958191235,13987.7404478088,"3022",BALT,"Zürich, Bahnhof Altstetten",24912.4299260274,29461.2362669323
"68","73",736.662520547945,1138.3255890411,899.979442231076,1402.88262948207,"542",BRIS,"Zürich, Bristenstrasse",1874.98810958905,2302.86207171315
"69","74",5951.14978082192,5640.38224657534,6897.293187251,6555.55163346614,"1570",LIND,"Zürich, Lindenplatz",11591.5320273973,13452.8448207171
"70","75",1352.93906849315,1445.54515068493,1508.59418326693,1603.84836653386,"47",ALBR,"Zürich, Albisrieden",2798.48421917808,3112.44254980079
"71","76",383.343150684932,450.358602739726,461.398605577689,531.366334661355,"1007",GOLD,"Zürich, Goldackerweg",833.701753424658,992.764940239044
"72","77",1002.76818876712,1068.92398273973,1139.6513501992,1201.60399880478,"1320",IDEY,"Zürich, In der Ey",2071.69217150685,2341.25534900398
"73","78",5633.96893863014,5493.51833205479,6385.76124541833,6167.50829163347,"2680",TRIE,"Zürich, Triemli",11127.4872706849,12553.2695370518
"74","79",659.395178082192,804.386219178082,776.910916334661,945.371752988048,"2682",TRIS,"Zürich, Triemlispital",1463.78139726027,1722.28266932271
"75","80",1931.78361643836,1897.64863013699,2234.02860557769,2206.1703187251,"2707",TUEF,"Zürich, Tüffenwies",3829.43224657535,4440.19892430279
"76","81",627.15704109589,467.634630136986,682.640478087649,499.738565737052,"2934",WINH,"Zürich, Winzerhalde",1094.79167123288,1182.3790438247
"77","82",207.736493150685,203.412821917808,231.881912350598,226.658804780876,"1231",HOHE,"Zürich, Hohenklingensteig",411.149315068493,458.540717131474
